WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
400,377.1667,-5.00,5.00,453.1206,-5.00,5.00,
401,383.1460,-5.00,5.00,462.3109,-5.00,5.00,
402,396.0140,-5.00,5.00,481.6700,-5.00,5.00,
403,402.0893,-5.00,5.00,490.4010,-5.00,5.00,
404,408.4491,-5.00,5.00,500.9868,-5.00,5.00,
405,416.0858,-5.00,5.00,512.6208,-5.00,5.00,
406,430.6340,-5.00,5.00,522.8508,-5.00,5.00,
407,436.3217,-5.00,5.00,540.8778,-5.00,5.00,
408,440.0718,-5.00,5.00,547.6647,-5.00,5.00,
409,444.9586,-5.00,5.00,555.1739,-5.00,5.00,
410,451.3204,-5.00,5.00,565.2655,-5.00,5.00,
411,467.1826,-5.00,5.00,589.1721,-5.00,5.00,
412,474.2372,-5.00,5.00,600.4574,-5.00,5.00,
413,481.6150,-5.00,5.00,610.9137,-5.00,5.00,
414,489.2290,-5.00,5.00,622.7703,-5.00,5.00,
415,502.7987,-5.00,5.00,633.2245,-5.00,5.00,
416,507.4920,-5.00,5.00,650.6444,-5.00,5.00,
417,511.1722,-5.00,5.00,656.8643,-5.00,5.00,
418,515.2407,-5.00,5.00,664.9220,-5.00,5.00,
419,529.0846,-5.00,5.00,674.5615,-5.00,5.00,
420,535.7584,-5.00,5.00,694.6292,-5.00,5.00,
421,539.7369,-5.00,5.00,701.9833,-5.00,5.00,
422,542.3795,-5.00,5.00,706.0154,-5.00,5.00,
423,545.6735,-5.00,5.00,713.3100,-5.00,5.00,
424,559.1799,-5.00,5.00,723.2867,-5.00,5.00,
425,566.0688,-5.00,5.00,745.2354,-5.00,5.00,
426,571.1887,-5.00,5.00,752.2753,-5.00,5.00,
427,574.6977,-5.00,5.00,758.4946,-5.00,5.00,
428,579.9315,-5.00,5.00,763.1356,-5.00,5.00,
429,582.3558,-5.00,5.00,775.5974,-5.00,5.00,
430,584.5586,-5.00,5.00,779.6492,-5.00,5.00,
431,586.1616,-5.00,5.00,782.2996,-5.00,5.00,
432,586.4662,-5.00,5.00,785.1631,-5.00,5.00,
433,593.2077,-5.00,5.00,790.2103,-5.00,5.00,
434,599.9862,-5.00,5.00,809.6158,-5.00,5.00,
435,606.2665,-5.00,5.00,820.5903,-5.00,5.00,
436,612.1196,-5.00,5.00,828.5149,-5.00,5.00,
437,621.6190,-5.00,5.00,835.6705,-5.00,5.00,
438,625.0804,-5.00,5.00,849.8265,-5.00,5.00,
439,630.0430,-5.00,5.00,858.0915,-5.00,5.00,
440,633.6592,-5.00,5.00,861.8043,-5.00,5.00,
441,634.0884,-5.00,5.00,863.8169,-5.00,5.00,
442,633.9763,-5.00,5.00,864.2052,-5.00,5.00,
443,633.9218,-5.00,5.00,866.4449,-5.00,5.00,
444,634.4952,-5.00,5.00,868.6562,-5.00,5.00,
445,634.0884,-5.00,5.00,868.1779,-5.00,5.00,
446,624.9747,-5.00,5.00,863.5897,-5.00,5.00,
447,617.2764,-5.00,5.00,846.5295,-5.00,5.00,
448,613.7051,-5.00,5.00,842.6354,-5.00,5.00,
449,614.5892,-5.00,5.00,847.3064,-5.00,5.00,
450,628.7400,-5.00,5.00,856.7371,-5.00,5.00,
451,636.4714,-5.00,5.00,879.9236,-5.00,5.00,
452,639.9398,-5.00,5.00,884.0367,-5.00,5.00,
453,641.3488,-5.00,5.00,887.5013,-5.00,5.00,
454,643.1548,-5.00,5.00,888.7697,-5.00,5.00,
455,646.0686,-5.00,5.00,896.7007,-5.00,5.00,
456,651.2327,-5.00,5.00,904.4506,-5.00,5.00,
457,656.5880,-5.00,5.00,913.6323,-5.00,5.00,
458,665.1840,-5.00,5.00,920.6057,-5.00,5.00,
459,665.8816,-5.00,5.00,925.4611,-5.00,5.00,
460,666.1248,-5.00,5.00,926.9280,-5.00,5.00,
461,665.8624,-5.00,5.00,927.2687,-5.00,5.00,
462,666.4351,-5.00,5.00,928.9724,-5.00,5.00,
463,669.0236,-5.00,5.00,931.3713,-5.00,5.00,
464,669.8427,-5.00,5.00,934.4610,-5.00,5.00,
465,670.4761,-5.00,5.00,936.8787,-5.00,5.00,
466,672.4374,-5.00,5.00,942.5414,-5.00,5.00,
467,680.6741,-5.00,5.00,947.7683,-5.00,5.00,
468,685.6406,-5.00,5.00,963.5307,-5.00,5.00,
469,690.8046,-5.00,5.00,970.4999,-5.00,5.00,
470,699.7014,-5.00,5.00,984.8461,-5.00,5.00,
471,734.7248,-5.00,5.00,1006.5300,-5.00,5.00,
472,758.7507,-5.00,5.00,1038.6510,-5.00,5.00,
473,781.4291,-5.00,5.00,1104.9760,-5.00,5.00,
474,796.6972,-5.00,5.00,1127.5780,-5.00,5.00,
475,802.6916,-5.00,5.00,1133.4640,-5.00,5.00,
476,800.7864,-5.00,5.00,1132.1360,-5.00,5.00,
477,796.3417,-5.00,5.00,1126.3910,-5.00,5.00,
478,792.6108,-5.00,5.00,1120.7400,-5.00,5.00,
479,787.2524,-5.00,5.00,1114.2890,-5.00,5.00,
480,779.3277,-5.00,5.00,1108.0980,-5.00,5.00,
481,779.1835,-5.00,5.00,1107.5820,-5.00,5.00,
482,783.3864,-5.00,5.00,1116.1850,-5.00,5.00,
483,789.6226,-5.00,5.00,1128.1210,-5.00,5.00,
484,799.4159,-5.00,5.00,1138.0270,-5.00,5.00,
485,798.1606,-5.00,5.00,1144.2060,-5.00,5.00,
486,793.5204,-5.00,5.00,1138.8970,-5.00,5.00,
487,787.7970,-5.00,5.00,1133.2190,-5.00,5.00,
488,772.5486,-5.00,5.00,1123.9890,-5.00,5.00,
489,764.4773,-5.00,5.00,1114.7480,-5.00,5.00,
490,759.8627,-5.00,5.00,1099.3270,-5.00,5.00,
491,757.6610,-5.00,5.00,1097.8510,-5.00,5.00,
492,756.5777,-5.00,5.00,1097.3780,-5.00,5.00,
493,755.2125,-5.00,5.00,1097.3550,-5.00,5.00,
494,753.7060,-5.00,5.00,1096.7160,-5.00,5.00,
495,755.3983,-5.00,5.00,1099.4410,-5.00,5.00,
496,759.1769,-5.00,5.00,1105.6190,-5.00,5.00,
497,771.0395,-5.00,5.00,1115.2960,-5.00,5.00,
498,776.4444,-5.00,5.00,1132.8170,-5.00,5.00,
499,781.0704,-5.00,5.00,1139.0530,-5.00,5.00,
500,781.9833,-5.00,5.00,1141.5210,-5.00,5.00,
501,779.5263,-5.00,5.00,1141.9750,-5.00,5.00,
502,777.5657,-5.00,5.00,1138.4760,-5.00,5.00,
503,774.7144,-5.00,5.00,1132.8500,-5.00,5.00,
504,773.5162,-5.00,5.00,1131.9420,-5.00,5.00,
