TP,USL,LSL
,,
T::TP_PCT_AVG_410,0.347535198,-0.347535198
,,
T::TP_PCT_AVG_420,0.290698971,-0.290698971
,,
T::TP_PCT_AVG_400,0.472594043,-0.472594043
,,
T::TP_PCT_AVG_450,0.287378811,-0.287378811
,,
T::TP_PCT_AVG_500,0.325492192,-0.325492192
,,
T::TP_PCT_AVG_550,0.367863403,-0.367863403
,,
T::TP_PCT_AVG_600,0.405110687,-0.405110687
,,
T::TP_PCT_AVG_650,0.443103901,-0.443103901
,,
T::TP_PCT_AVG_700,0.503774585,-0.503774585
,,
T::TP_PCT_AVG_750,0.569670033,-0.569670033
,,
T::TP_PCT_AVG_800,0.659638003,-0.659638003
,,
T::TP_PCT_AVG_850,0.725967625,-0.725967625
,,
T::TP_PCT_AVG_900,0.817651861,-0.817651861
,,
T::TP_PCT_AVG_950,1.355561069,-1.355561069
,,
T::TP_PCT_AVG_1000,1.479735097,-1.479735097
,,
T::TP_PCT_AVG_1050,1.677141265,-1.677141265
,,
T::TP_PCT_AVG_1100,1.831748029,-1.831748029
,,
T::TP_PCT_AVG_410,0.347535198,-0.347535198
,,
T::TP_PCT_AVG_420,0.290698971,-0.290698971
,,
T::TP_PCT_AVG_400,0.472594043,-0.472594043
,,
T::TP_PCT_AVG_450,0.287378811,-0.287378811
,,
T::TP_PCT_AVG_500,0.325492192,-0.325492192
,,
T::TP_PCT_AVG_550,0.367863403,-0.367863403
,,
T::TP_PCT_AVG_600,0.405110687,-0.405110687
,,
T::TP_PCT_AVG_650,0.443103901,-0.443103901
,,
T::TP_PCT_AVG_700,0.503774585,-0.503774585
,,
T::TP_PCT_AVG_750,0.569670033,-0.569670033
,,
T::TP_PCT_AVG_800,0.659638003,-0.659638003
,,
T::TP_PCT_AVG_850,0.725967625,-0.725967625
,,
T::TP_PCT_AVG_900,0.817651861,-0.817651861
,,
T::TP_PCT_AVG_950,1.355561069,-1.355561069
,,
T::TP_PCT_AVG_1000,1.479735097,-1.479735097
,,
T::TP_PCT_AVG_1050,1.677141265,-1.677141265
,,
T::TP_PCT_AVG_1100,1.831748029,-1.831748029
,,
T::TP_PCT_AVG_410,0.347535198,-0.347535198
,,
T::TP_PCT_AVG_420,0.290698971,-0.290698971
,,
T::TP_PCT_AVG_400,0.472594043,-0.472594043
,,
T::TP_PCT_AVG_450,0.287378811,-0.287378811
,,
T::TP_PCT_AVG_500,0.325492192,-0.325492192
,,
T::TP_PCT_AVG_550,0.367863403,-0.367863403
,,
T::TP_PCT_AVG_600,0.405110687,-0.405110687
,,
T::TP_PCT_AVG_650,0.443103901,-0.443103901
,,
T::TP_PCT_AVG_700,0.503774585,-0.503774585
,,
T::TP_PCT_AVG_750,0.569670033,-0.569670033
,,
T::TP_PCT_AVG_800,0.659638003,-0.659638003
,,
T::TP_PCT_AVG_850,0.725967625,-0.725967625
,,
T::TP_PCT_AVG_900,0.817651861,-0.817651861
,,
T::TP_PCT_AVG_950,1.355561069,-1.355561069
,,
T::TP_PCT_AVG_1000,1.479735097,-1.479735097
,,
T::TP_PCT_AVG_1050,1.677141265,-1.677141265
,,
T::TP_PCT_AVG_1100,1.831748029,-1.831748029
