WaveLength,Module1,Min%, Max%, Modue2,Min%, Max%
400,66.3762,-5.00,5.00,64.6907,-5.00,5.00,
401,71.2150,-5.00,5.00,74.6355,-5.00,5.00,
402,76.3096,-5.00,5.00,80.0526,-5.00,5.00,
403,81.4455,-5.00,5.00,85.3840,-5.00,5.00,
404,86.9085,-5.00,5.00,90.9272,-5.00,5.00,
405,98.0508,-5.00,5.00,96.2391,-5.00,5.00,
406,104.1259,-5.00,5.00,108.5756,-5.00,5.00,
407,110.6192,-5.00,5.00,114.8919,-5.00,5.00,
408,117.6950,-5.00,5.00,122.0597,-5.00,5.00,
409,135.6535,-5.00,5.00,130.3667,-5.00,5.00,
410,147.0671,-5.00,5.00,152.1957,-5.00,5.00,
411,161.8812,-5.00,5.00,167.9096,-5.00,5.00,
412,181.4658,-5.00,5.00,189.1121,-5.00,5.00,
413,208.4343,-5.00,5.00,217.5724,-5.00,5.00,
414,292.1138,-5.00,5.00,255.7331,-5.00,5.00,
415,346.1150,-5.00,5.00,354.4059,-5.00,5.00,
416,396.6238,-5.00,5.00,400.3223,-5.00,5.00,
417,433.5838,-5.00,5.00,433.2314,-5.00,5.00,
418,453.4996,-5.00,5.00,449.5195,-5.00,5.00,
419,446.7113,-5.00,5.00,438.8654,-5.00,5.00,
420,431.3369,-5.00,5.00,422.1532,-5.00,5.00,
421,411.7661,-5.00,5.00,402.6869,-5.00,5.00,
422,391.8380,-5.00,5.00,383.6420,-5.00,5.00,
423,365.2179,-5.00,5.00,367.8338,-5.00,5.00,
424,362.5706,-5.00,5.00,356.6841,-5.00,5.00,
425,368.9380,-5.00,5.00,362.7714,-5.00,5.00,
426,382.0764,-5.00,5.00,375.1283,-5.00,5.00,
427,399.7180,-5.00,5.00,391.4859,-5.00,5.00,
428,439.4336,-5.00,5.00,428.0602,-5.00,5.00,
429,457.8925,-5.00,5.00,443.8822,-5.00,5.00,
430,472.3886,-5.00,5.00,455.9344,-5.00,5.00,
431,481.4064,-5.00,5.00,461.2259,-5.00,5.00,
432,475.3413,-5.00,5.00,459.6837,-5.00,5.00,
433,460.7142,-5.00,5.00,435.3706,-5.00,5.00,
434,438.9412,-5.00,5.00,414.0054,-5.00,5.00,
435,412.7257,-5.00,5.00,388.6566,-5.00,5.00,
436,385.4596,-5.00,5.00,362.2965,-5.00,5.00,
437,340.9966,-5.00,5.00,321.7030,-5.00,5.00,
438,327.0291,-5.00,5.00,308.9924,-5.00,5.00,
439,317.3103,-5.00,5.00,299.8331,-5.00,5.00,
440,310.7099,-5.00,5.00,293.7031,-5.00,5.00,
441,303.8199,-5.00,5.00,289.6906,-5.00,5.00,
442,302.0239,-5.00,5.00,284.6328,-5.00,5.00,
443,300.0874,-5.00,5.00,281.9914,-5.00,5.00,
