SerialNumber,Test Pass/Fail Status,errCode,errStr,TesterID,config,StartTime,EndTime,TestTime,INIT::TSTR_SW,INIT::LIGHT_SOURCE,INIT::SPECTROMETER,INIT::CG_SN,UNIF::INT_AVG,UNIF::INT_PCT_MAX,UNIF::INT_PCT_MIN,UNIF::INT_DRK_PXL_CNT_PCT,UNIF::INT_HOT_PXL_CNT_PCT,UNIF::EXT_PCT_MAX,UNIF::EXT_PCT_MIN,UNIF::LF_INT_PCT_MAX,UNIF::LF_INT_PCT_MIN,UNIF::LF_INT_DRK_PXL_CNT_PCT,UNIF::LF_INT_HOT_PXL_CNT_PCT,UNIF::LF_EXT_PCT_MAX,UNIF::LF_EXT_PCT_MIN,UNIF::HF_INT_PCT_MAX,UNIF::HF_INT_PCT_MIN,UNIF::HF_INT_DRK_PXL_CNT_PCT,UNIF::HF_INT_HOT_PXL_CNT_PCT,UNIF::HF_EXT_PCT_MAX,UNIF::HF_EXT_PCT_MIN,T::TP1_XPOS,T::TP1_YPOS,T::TP1_APOS,T::TP1_T_PCT_400,T::TP1_T_PCT_410,T::TP1_T_PCT_420,T::TP1_T_PCT_450,T::TP1_T_PCT_500,T::TP1_T_PCT_550,T::TP1_T_PCT_600,T::TP1_T_PCT_650,T::TP1_T_PCT_700,T::TP1_T_PCT_750,T::TP1_T_PCT_800,T::TP1_T_PCT_850,T::TP1_T_PCT_900,T::TP1_T_PCT_950,T::TP1_T_PCT_1000,T::TP1_T_PCT_1050,T::TP1_T_PCT_1100,T::TP1_TILT_400,T::TP1_TILT_450,T::TP1_TILT_500,T::TP1_TILT_550,T::TP1_TILT_600,T::TP1_TILT_650,T::TP1_TILT_700,T::TP1_TILT_750,T::TP1_TILT_800,T::TP1_TILT_850,T::TP1_TILT_900,T::TP1_TILT_950,T::TP1_TILT_1000,T::TP1_TILT_1050,T::TP1_TILT_1100,T::TP2_XPOS,T::TP2_YPOS,T::TP2_APOS,T::TP2_T_PCT_400,T::TP2_T_PCT_410,T::TP2_T_PCT_420,T::TP2_T_PCT_450,T::TP2_T_PCT_500,T::TP2_T_PCT_550,T::TP2_T_PCT_600,T::TP2_T_PCT_650,T::TP2_T_PCT_700,T::TP2_T_PCT_750,T::TP2_T_PCT_800,T::TP2_T_PCT_850,T::TP2_T_PCT_900,T::TP2_T_PCT_950,T::TP2_T_PCT_1000,T::TP2_T_PCT_1050,T::TP2_T_PCT_1100,T::TP2_TILT_400,T::TP2_TILT_450,T::TP2_TILT_500,T::TP2_TILT_550,T::TP2_TILT_600,T::TP2_TILT_650,T::TP2_TILT_700,T::TP2_TILT_750,T::TP2_TILT_800,T::TP2_TILT_850,T::TP2_TILT_900,T::TP2_TILT_950,T::TP2_TILT_1000,T::TP2_TILT_1050,T::TP2_TILT_1100,T::TP3_XPOS,T::TP3_YPOS,T::TP3_APOS,T::TP3_T_PCT_410,T::TP3_T_PCT_420,T::TP3_T_PCT_400,T::TP3_T_PCT_450,T::TP3_T_PCT_500,T::TP3_T_PCT_550,T::TP3_T_PCT_600,T::TP3_T_PCT_650,T::TP3_T_PCT_700,T::TP3_T_PCT_750,T::TP3_T_PCT_800,T::TP3_T_PCT_850,T::TP3_T_PCT_900,T::TP3_T_PCT_950,T::TP3_T_PCT_1000,T::TP3_T_PCT_1050,T::TP3_T_PCT_1100,T::TP3_TILT_400,T::TP3_TILT_450,T::TP3_TILT_500,T::TP3_TILT_550,T::TP3_TILT_600,T::TP3_TILT_650,T::TP3_TILT_700,T::TP3_TILT_750,T::TP3_TILT_800,T::TP3_TILT_850,T::TP3_TILT_900,T::TP3_TILT_950,T::TP3_TILT_1000,T::TP3_TILT_1050,T::TP3_TILT_1100,T::TP4_XPOS,T::TP4_YPOS,T::TP4_APOS,T::TP4_T_PCT_410,T::TP4_T_PCT_420,T::TP4_T_PCT_400,T::TP4_T_PCT_450,T::TP4_T_PCT_500,T::TP4_T_PCT_550,T::TP4_T_PCT_600,T::TP4_T_PCT_650,T::TP4_T_PCT_700,T::TP4_T_PCT_750,T::TP4_T_PCT_800,T::TP4_T_PCT_850,T::TP4_T_PCT_900,T::TP4_T_PCT_950,T::TP4_T_PCT_1000,T::TP4_T_PCT_1050,T::TP4_T_PCT_1100,T::TP4_TILT_400,T::TP4_TILT_450,T::TP4_TILT_500,T::TP4_TILT_550,T::TP4_TILT_600,T::TP4_TILT_650,T::TP4_TILT_700,T::TP4_TILT_750,T::TP4_TILT_800,T::TP4_TILT_850,T::TP4_TILT_900,T::TP4_TILT_950,T::TP4_TILT_1000,T::TP4_TILT_1050,T::TP4_TILT_1100,T::TP5_XPOS,T::TP5_YPOS,T::TP5_APOS,T::TP5_T_PCT_410,T::TP5_T_PCT_420,T::TP5_T_PCT_400,T::TP5_T_PCT_450,T::TP5_T_PCT_500,T::TP5_T_PCT_550,T::TP5_T_PCT_600,T::TP5_T_PCT_650,T::TP5_T_PCT_700,T::TP5_T_PCT_750,T::TP5_T_PCT_800,T::TP5_T_PCT_850,T::TP5_T_PCT_900,T::TP5_T_PCT_950,T::TP5_T_PCT_1000,T::TP5_T_PCT_1050,T::TP5_T_PCT_1100,T::TP5_TILT_400,T::TP5_TILT_450,T::TP5_TILT_500,T::TP5_TILT_550,T::TP5_TILT_600,T::TP5_TILT_650,T::TP5_TILT_700,T::TP5_TILT_750,T::TP5_TILT_800,T::TP5_TILT_850,T::TP5_TILT_900,T::TP5_TILT_950,T::TP5_TILT_1000,T::TP5_TILT_1050,T::TP5_TILT_1100,T::T_PCT_STDEV_400,T::T_PCT_STDEV_450,T::T_PCT_STDEV_500,T::T_PCT_STDEV_550,T::T_PCT_STDEV_600,T::T_PCT_STDEV_650,T::T_PCT_STDEV_700,T::T_PCT_STDEV_750,T::T_PCT_STDEV_800,T::T_PCT_STDEV_850,T::T_PCT_STDEV_900,T::T_PCT_STDEV_950,T::T_PCT_STDEV_1000,T::T_PCT_STDEV_1050,T::T_PCT_STDEV_1100,POST::FDR_POST_RESULT,POST::FDR_POST_TIME,POST::FDR_CONFIRM_RESULT,POST::FDR_CONFIRM_TIME
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,37,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,72,70,71,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225
Upper Limit ----->,,,,,,,,,,,,ATTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,nan,nan,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.8,3.7,4.9,6.2,6.9,8.2,9.8,13.3,16.8,18.7,21.7,nan,nan,nan,nan,52,69,84,nan,117,144,177,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,nan,20,nan,20,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,1,nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lower Limit ----->,,,,,,,,,,,,ATTR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,0.9,nan,nan,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,0.9,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,0.9,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,nan,nan,nan,0.9,1.8,2.4,3.1,3.3,3.7,4.6,6.4,8.7,9.7,11.2,nan,nan,nan,nan,23,49,72,nan,107,122,141,nan,0,nan,0,nan,0,nan,0,nan,nan,-20,nan,-20,nan,-20,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measurement Unit ----->,,,,,,,,sec,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,px,px,px,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,,sec,,sec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363270590HL950W,PASS,0,,Machine04A_golden,,10/8/2016 18:05,10/8/2016 18:06,7.967,Version 16.8.10.12,LS,CAS140,20363270590HL9502112651124753158079639794743,195.319725,30.04319,-76.448871,23.45241,24.659376,30.04319,-92.320284,29.019228,-31.394538,22.55488,22.916161,25.43536,-68.257174,13.823489,-51.198106,1.067639,0.479546,13.823489,-51.198106,1377.330933,975.340881,0.001606,1.417675,1.55208,1.692616,2.064554,2.787273,3.579944,4.09181,4.904224,5.887375,8.301826,10.839463,12.746467,14.962923,17.120291,18.842628,20.249771,20.990795,39.600487,57.670002,77.858009,100,114.298141,136.991623,164.454376,231.898163,302.78302,356.052094,417.96521,478.227844,526.338562,565.644836,586.344116,1377.330933,975.340881,0.001606,1.510409,1.620014,1.741373,2.11327,2.834698,3.630876,4.117437,4.953987,5.963591,8.381241,10.954928,12.792008,15.077616,17.205564,18.937845,20.397482,21.412027,41.599033,58.202755,78.072037,100,113.400673,136.440567,164.246643,230.832504,301.715881,352.311951,415.261169,473.868164,521.577942,561.778564,589.720764,1377.330933,975.340881,0.001606,1.568384,1.691994,1.454819,2.058774,2.755717,3.530253,4.028796,4.835267,5.817291,8.195632,10.738737,12.53345,14.798644,16.992897,18.588724,20.112949,21.004286,41.210056,58.318035,78.060059,100,114.122025,136.966599,164.783997,232.154251,304.191742,355.029816,419.195038,481.350708,526.555054,569.73114,594.979675,1377.330933,975.340881,0.001606,1.611856,1.732908,1.505283,2.104122,2.812164,3.597244,4.084173,4.897103,5.889084,8.270217,10.833223,12.625542,14.858572,17.03179,18.7477,20.20137,21.262262,41.845467,58.492619,78.175529,100,113.536179,136.134857,163.711014,229.904266,301.153442,350.97821,413.054382,473.467773,521.168457,561.579102,591.070923,1377.330933,975.340881,0.001606,1.472305,1.602045,1.35362,1.954798,2.628586,3.380038,3.848212,4.623791,5.573379,7.886721,10.397058,12.158575,14.382529,16.545704,18.204777,19.683914,20.717836,40.047474,57.833618,77.767952,100,113.851151,136.797028,164.891006,233.332321,307.601807,359.717102,425.513855,489.51236,538.596802,582.357788,612.946838,0.065287,0.062988,0.081032,0.09842,0.108818,0.129524,0.150475,0.191086,0.213063,0.252048,0.264594,0.255939,0.287427,0.269381,0.268459,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20363271645HL9502,PASS,0,,Machine04A_golden,,10/8/2016 18:06,10/8/2016 18:06,7.124,Version 16.8.10.12,LS,CAS140,20363271645HL9502111651148802159080758798743,182.527566,35.322026,-58.362454,23.539894,30.088293,32.034851,-90.686338,31.486989,-44.665892,24.16201,27.379507,17.242565,-75.34619,14.792286,-31.22816,0.351559,0.17335,14.792286,-44.924721,1268.711914,963.802246,-0.005717,1.592138,1.753953,1.919456,2.318419,3.090616,3.936172,4.443926,5.322757,6.365163,8.936869,11.507742,13.43045,15.729612,17.839964,19.709389,21.101637,22.157028,40.448902,58.900356,78.518333,100,112.899696,135.226746,161.709473,227.044678,292.358734,341.205902,399.617035,453.231323,500.724792,536.095459,562.908081,1268.711914,963.802246,-0.005717,1.48595,1.668787,1.848246,2.246952,2.992574,3.826513,4.323855,5.195445,6.220267,8.726282,11.318182,13.183323,15.506517,17.621376,19.379126,20.838799,21.795221,38.833,58.720612,78.206314,100,112.997269,135.774933,162.557083,228.047913,295.783203,344.525787,405.238922,460.507477,506.443542,544.589844,569.584473,1268.711914,963.802246,-0.005717,1.590432,1.751849,1.430172,2.118019,2.822461,3.619437,4.0958,4.926053,5.920742,8.336277,10.89579,12.710375,14.971148,17.111055,18.790033,20.311394,21.133041,39.513664,58.51791,77.980667,100,113.16124,136.099976,163.581848,230.319717,301.035492,351.169952,413.631958,472.754608,519.142456,561.175476,583.876465,1268.711914,963.802246,-0.005717,1.523219,1.675949,1.369856,2.04235,2.734879,3.494756,3.963166,4.77674,5.723865,8.098108,10.623454,12.38193,14.574445,16.734518,18.428762,19.940184,20.890057,39.197468,58.440411,78.25666,100,113.403236,136.683075,163.784393,231.72171,303.982697,354.300293,417.037537,478.846558,527.326172,570.574402,597.754395,1268.711914,963.802246,-0.005717,1.386191,1.512515,1.267542,1.838464,2.464849,3.172267,3.608682,4.3461,5.252944,7.509904,9.894188,11.587268,13.765409,15.834839,17.46979,18.982513,19.793486,39.956959,57.95425,77.699905,100,113.757172,137.00296,165.589569,236.73616,311.896393,365.26767,433.929626,499.164673,550.703552,598.389404,623.953857,0.121887,0.187434,0.243102,0.299268,0.326993,0.383336,0.43847,0.559316,0.636159,0.724235,0.783266,0.794991,0.874616,0.833233,0.913556,0,0,0,0
