TP,USL,LSL
,,
T::TP1_T_PCT_400,0.5,-0.5
,,
T::TP1_T_PCT_410,0.5,-0.5
,,
T::TP1_T_PCT_420,0.5,-0.5
,,
T::TP1_T_PCT_450,0.5,-0.5
,,
T::TP1_T_PCT_500,0.5,-0.5
,,
T::TP1_T_PCT_550,0.5,-0.5
,,
T::TP1_T_PCT_600,0.5,-0.5
,,
T::TP1_T_PCT_650,0.5,-0.5
,,
T::TP1_T_PCT_700,1,-0.8
,,
T::TP1_T_PCT_750,1,-0.8
,,
T::TP1_T_PCT_800,1,-0.8
,,
T::TP1_T_PCT_850,1.5,-1.2
,,
T::TP1_T_PCT_900,1.5,-1.2
,,
T::TP1_T_PCT_950,1.5,-1.2
,,
T::TP1_T_PCT_1000,2,-1.5
,,
T::TP1_T_PCT_1050,2,-1.5
,,
T::TP1_T_PCT_1100,2,-1.5
,,
T::TP2_T_PCT_400,0.5,-0.5
,,
T::TP2_T_PCT_410,0.5,-0.5
,,
T::TP2_T_PCT_420,0.5,-0.5
,,
T::TP2_T_PCT_450,0.5,-0.5
,,
T::TP2_T_PCT_500,0.5,-0.5
,,
T::TP2_T_PCT_550,0.5,-0.5
,,
T::TP2_T_PCT_600,0.5,-0.5
,,
T::TP2_T_PCT_650,0.5,-0.5
,,
T::TP2_T_PCT_700,1,-0.8
,,
T::TP2_T_PCT_750,1,-0.8
,,
T::TP2_T_PCT_800,1,-0.8
,,
T::TP2_T_PCT_850,1.5,-1.2
,,
T::TP2_T_PCT_900,1.5,-1.2
,,
T::TP2_T_PCT_950,1.5,-1.2
,,
T::TP2_T_PCT_1000,2,-1.5
,,
T::TP2_T_PCT_1050,2,-1.5
,,
T::TP2_T_PCT_1100,2,-1.5
,,
T::TP3_T_PCT_400,0.5,-0.5
,,
T::TP3_T_PCT_410,0.5,-0.5
,,
T::TP3_T_PCT_420,0.5,-0.5
,,
T::TP3_T_PCT_450,0.5,-0.5
,,
T::TP3_T_PCT_500,0.5,-0.5
,,
T::TP3_T_PCT_550,0.5,-0.5
,,
T::TP3_T_PCT_600,0.5,-0.5
,,
T::TP3_T_PCT_650,0.5,-0.5
,,
T::TP3_T_PCT_700,1,-0.8
,,
T::TP3_T_PCT_750,1,-0.8
,,
T::TP3_T_PCT_800,1,-0.8
,,
T::TP3_T_PCT_850,1.5,-1.2
,,
T::TP3_T_PCT_900,1.5,-1.2
,,
T::TP3_T_PCT_950,1.5,-1.2
,,
T::TP3_T_PCT_1000,2,-1.5
,,
T::TP3_T_PCT_1050,2,-1.5
,,
T::TP3_T_PCT_1100,2,-1.5
