TP,USL,LSL
,,
T::TP1_T_PCT_400,1.644,-1.644
,,
T::TP1_T_PCT_410,0.93912,-0.93912
,,
T::TP1_T_PCT_420,0.20856,-0.20856
,,
T::TP1_T_PCT_450,0.12552,-0.12552
,,
T::TP1_T_PCT_500,0.10488,-0.10488
,,
T::TP1_T_PCT_550,0.08928,-0.08928
,,
T::TP1_T_PCT_600,0.08388,-0.08388
,,
T::TP1_T_PCT_650,0.07944,-0.07944
,,
T::TP1_T_PCT_700,0.07284,-0.07284
,,
T::TP1_T_PCT_750,0.07656,-0.07656
,,
T::TP1_T_PCT_800,0.0702,-0.0702
,,
T::TP1_T_PCT_850,0.06384,-0.06384
,,
T::TP1_T_PCT_900,0.06624,-0.06624
,,
T::TP1_T_PCT_950,1,-1
,,
T::TP1_T_PCT_1000,1,-1
,,
T::TP1_T_PCT_1050,1,-1
,,
T::TP1_T_PCT_1100,1,-1
,,
T::TP2_T_PCT_400,1.644,-1.644
,,
T::TP2_T_PCT_410,0.93912,-0.93912
,,
T::TP2_T_PCT_420,0.20856,-0.20856
,,
T::TP2_T_PCT_450,0.12552,-0.12552
,,
T::TP2_T_PCT_500,0.10488,-0.10488
,,
T::TP2_T_PCT_550,0.08928,-0.08928
,,
T::TP2_T_PCT_600,0.08388,-0.08388
,,
T::TP2_T_PCT_650,0.07944,-0.07944
,,
T::TP2_T_PCT_700,0.07284,-0.07284
,,
T::TP2_T_PCT_750,0.07656,-0.07656
,,
T::TP2_T_PCT_800,0.0702,-0.0702
,,
T::TP2_T_PCT_850,0.06384,-0.06384
,,
T::TP2_T_PCT_900,0.06624,-0.06624
,,
T::TP2_T_PCT_950,1,-1
,,
T::TP2_T_PCT_1000,1,-1
,,
T::TP2_T_PCT_1050,1,-1
,,
T::TP2_T_PCT_1100,1,-1
,,
T::TP3_T_PCT_400,1.644,-1.644
,,
T::TP3_T_PCT_410,0.93912,-0.93912
,,
T::TP3_T_PCT_420,0.20856,-0.20856
,,
T::TP3_T_PCT_450,0.12552,-0.12552
,,
T::TP3_T_PCT_500,0.10488,-0.10488
,,
T::TP3_T_PCT_550,0.08928,-0.08928
,,
T::TP3_T_PCT_600,0.08388,-0.08388
,,
T::TP3_T_PCT_650,0.07944,-0.07944
,,
T::TP3_T_PCT_700,0.07284,-0.07284
,,
T::TP3_T_PCT_750,0.07656,-0.07656
,,
T::TP3_T_PCT_800,0.0702,-0.0702
,,
T::TP3_T_PCT_850,0.06384,-0.06384
,,
T::TP3_T_PCT_900,0.06624,-0.06624
,,
T::TP3_T_PCT_950,1,-1
,,
T::TP3_T_PCT_1000,1,-1
,,
T::TP3_T_PCT_1050,1,-1
,,
T::TP3_T_PCT_1100,1,-1
