TP,USL,LSL
,,
T::TP1_T_PCT_400,0.1286,-0.1286
,,
T::TP1_T_PCT_410,1,-1
,,
T::TP1_T_PCT_420,1,-1
,,
T::TP1_T_PCT_450,0.0854,-0.0854
,,
T::TP1_T_PCT_500,0.078,-0.078
,,
T::TP1_T_PCT_550,0.0744,-0.0744
,,
T::TP1_T_PCT_600,0.0713,-0.0713
,,
T::TP1_T_PCT_650,0.0702,-0.0702
,,
T::TP1_T_PCT_700,0.0645,-0.0645
,,
T::TP1_T_PCT_750,0.058,-0.058
,,
T::TP1_T_PCT_800,0.0536,-0.0536
,,
T::TP1_T_PCT_850,0.0445,-0.0445
,,
T::TP1_T_PCT_900,0.0457,-0.0457
,,
T::TP1_T_PCT_950,1,-1
,,
T::TP1_T_PCT_1000,1,-1
,,
T::TP1_T_PCT_1050,1,-1
,,
T::TP1_T_PCT_1100,1,-1
,,
T::TP2_T_PCT_400,0.1286,-0.1286
,,
T::TP2_T_PCT_410,1,-1
,,
T::TP2_T_PCT_420,1,-1
,,
T::TP2_T_PCT_450,0.0854,-0.0854
,,
T::TP2_T_PCT_500,0.078,-0.078
,,
T::TP2_T_PCT_550,0.0744,-0.0744
,,
T::TP2_T_PCT_600,0.0713,-0.0713
,,
T::TP2_T_PCT_650,0.0702,-0.0702
,,
T::TP2_T_PCT_700,0.0645,-0.0645
,,
T::TP2_T_PCT_750,0.058,-0.058
,,
T::TP2_T_PCT_800,0.0536,-0.0536
,,
T::TP2_T_PCT_850,0.0445,-0.0445
,,
T::TP2_T_PCT_900,0.0457,-0.0457
,,
T::TP2_T_PCT_950,1,-1
,,
T::TP2_T_PCT_1000,1,-1
,,
T::TP2_T_PCT_1050,1,-1
,,
T::TP2_T_PCT_1100,1,-1
,,
T::TP3_T_PCT_400,0.1286,-0.1286
,,
T::TP3_T_PCT_410,1,-1
,,
T::TP3_T_PCT_420,1,-1
,,
T::TP3_T_PCT_450,0.0854,-0.0854
,,
T::TP3_T_PCT_500,0.078,-0.078
,,
T::TP3_T_PCT_550,0.0744,-0.0744
,,
T::TP3_T_PCT_600,0.0713,-0.0713
,,
T::TP3_T_PCT_650,0.0702,-0.0702
,,
T::TP3_T_PCT_700,0.0645,-0.0645
,,
T::TP3_T_PCT_750,0.058,-0.058
,,
T::TP3_T_PCT_800,0.0536,-0.0536
,,
T::TP3_T_PCT_850,0.0445,-0.0445
,,
T::TP3_T_PCT_900,0.0457,-0.0457
,,
T::TP3_T_PCT_950,1,-1
,,
T::TP3_T_PCT_1000,1,-1
,,
T::TP3_T_PCT_1050,1,-1
,,
T::TP3_T_PCT_1100,1,-1
