Wavelngth,NDFilter510-A2,Min%,Max%,NDFilter513-B2,Min%,Max%,NDFilter520-C2,Min%,Max%,NDFilter510-A7,Min%,Max%,NDFilter513-B7,Min%,Max%,NDFilter520-C7,Min%,Max%,NDFilter510-A9,Min%,Max%,NDFilter513-B9,Min%,Max%,NDFilter520-01,Min%,Max%
,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,7.79,-10,10,4.05,-10,10,0.29,-100,100,7.84,-10,10,4.04,-10,10,0.28,-100,100,7.84,-10,10,4.04,-10,10,0.27,-100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,9.67,-10,10,5.32,-10,10,0.63,-10,10,9.72,-10,10,5.31,-10,10,0.61,-10,10,9.73,-10,10,5.3,-10,10,0.61,-10,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,9.15,-5,5,4.94,-5,5,0.68,-5,5,9.19,-5,5,4.94,-5,5,0.65,-5,5,9.2,-5,5,4.92,-5,5,0.66,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,10.04,-5,5,5.57,-5,5,0.82,-5,5,10.08,-5,5,5.56,-5,5,0.8,-5,5,10.09,-5,5,5.55,-5,5,0.81,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,8.55,-5,5,4.52,-5,5,0.76,-5,5,8.59,-5,5,4.52,-5,5,0.73,-5,5,8.59,-5,5,4.51,-5,5,0.75,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,9.14,-5,5,4.92,-5,5,1.05,-5,5,9.18,-5,5,4.92,-5,5,1.01,-5,5,9.18,-5,5,4.9,-5,5,1.05,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,14.88,-5,5,9.19,-5,5,2.76,-5,5,14.95,-5,5,9.18,-5,5,2.67,-5,5,14.95,-5,5,9.15,-5,5,2.74,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,16.13,-5,5,10.2,-5,5,4.13,-5,5,16.21,-5,5,10.19,-5,5,4,-5,5,16.21,-5,5,10.16,-5,5,4.13,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,14.42,-5,5,8.85,-5,5,4.57,-5,5,14.5,-5,5,8.84,-5,5,4.41,-5,5,14.49,-5,5,8.82,-5,5,4.64,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,12.53,-5,5,7.41,-5,5,4.57,-5,5,12.61,-5,5,7.4,-5,5,4.38,-5,5,12.59,-5,5,7.38,-5,5,4.67,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,10.86,-5,5,6.16,-5,5,4.32,-5,5,10.9,-5,5,6.13,-5,5,4.13,-5,5,10.88,-5,5,6.13,-5,5,4.46,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,9.51,-5,5,5.23,-5,5,4.05,-5,5,9.56,-5,5,5.21,-5,5,3.87,-5,5,9.57,-5,5,5.19,-5,5,4.18,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,8.53,-5,5,4.54,-5,5,3.83,-5,5,8.58,-5,5,4.53,-5,5,3.67,-5,5,8.56,-5,5,4.52,-5,5,4.03,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,8.03,-5,5,4.19,-5,5,3.84,-5,5,8.07,-5,5,4.22,-5,5,3.66,-5,5,8.05,-5,5,4.18,-5,5,4.04,-5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,7.86,-10,10,4.11,-10,10,3.98,-10,10,7.89,-10,10,4.11,-10,10,3.78,-10,10,7.87,-10,10,4.08,-10,10,4.18,-10,10
