TP,USL,LSL
,,
T::TP_TILT_AVG_400,7.237686992,-7.237686992
,,
T::TP_TILT_AVG_410,1000,-1000
,,
T::TP_TILT_AVG_420,1000,-1000
,,
T::TP_TILT_AVG_450,2.282589338,-2.282589338
,,
T::TP_TILT_AVG_500,1.427682062,-1.427682062
,,
T::TP_TILT_AVG_550,0,0
,,
T::TP_TILT_AVG_600,2.725454922,-2.725454922
,,
T::TP_TILT_AVG_650,3.258446838,-3.258446838
,,
T::TP_TILT_AVG_700,4.821159658,-4.821159658
,,
T::TP_TILT_AVG_750,9.501277408,-9.501277408
,,
T::TP_TILT_AVG_800,7.516194389,-7.516194389
,,
T::TP_TILT_AVG_850,12.91273102,-12.91273102
,,
T::TP_TILT_AVG_900,9.378214773,-9.378214773
,,
T::TP_TILT_AVG_950,17.48583754,-17.48583754
,,
T::TP_TILT_AVG_1000,13.2688475,-13.2688475
,,
T::TP_TILT_AVG_1050,22.79992023,-22.79992023
,,
T::TP_TILT_AVG_1100,18.5158442,-18.5158442
,,
T::TP_TILT_AVG_400,7.237686992,-7.237686992
,,
T::TP_TILT_AVG_410,1000,-1000
,,
T::TP_TILT_AVG_420,1000,-1000
,,
T::TP_TILT_AVG_450,2.282589338,-2.282589338
,,
T::TP_TILT_AVG_500,1.427682062,-1.427682062
,,
T::TP_TILT_AVG_550,0,0
,,
T::TP_TILT_AVG_600,2.725454922,-2.725454922
,,
T::TP_TILT_AVG_650,3.258446838,-3.258446838
,,
T::TP_TILT_AVG_700,4.821159658,-4.821159658
,,
T::TP_TILT_AVG_750,9.501277408,-9.501277408
,,
T::TP_TILT_AVG_800,7.516194389,-7.516194389
,,
T::TP_TILT_AVG_850,12.91273102,-12.91273102
,,
T::TP_TILT_AVG_900,9.378214773,-9.378214773
,,
T::TP_TILT_AVG_950,17.48583754,-17.48583754
,,
T::TP_TILT_AVG_1000,13.2688475,-13.2688475
,,
T::TP_TILT_AVG_1050,22.79992023,-22.79992023
,,
T::TP_TILT_AVG_1100,18.5158442,-18.5158442
,,
T::TP_TILT_AVG_400,7.237686992,-7.237686992
,,
T::TP_TILT_AVG_410,1000,-1000
,,
T::TP_TILT_AVG_420,1000,-1000
,,
T::TP_TILT_AVG_450,2.282589338,-2.282589338
,,
T::TP_TILT_AVG_500,1.427682062,-1.427682062
,,
T::TP_TILT_AVG_550,0,0
,,
T::TP_TILT_AVG_600,2.725454922,-2.725454922
,,
T::TP_TILT_AVG_650,3.258446838,-3.258446838
,,
T::TP_TILT_AVG_700,4.821159658,-4.821159658
,,
T::TP_TILT_AVG_750,9.501277408,-9.501277408
,,
T::TP_TILT_AVG_800,7.516194389,-7.516194389
,,
T::TP_TILT_AVG_850,12.91273102,-12.91273102
,,
T::TP_TILT_AVG_900,9.378214773,-9.378214773
,,
T::TP_TILT_AVG_950,17.48583754,-17.48583754
,,
T::TP_TILT_AVG_1000,13.2688475,-13.2688475
,,
T::TP_TILT_AVG_1050,22.79992023,-22.79992023
,,
T::TP_TILT_AVG_1100,18.5158442,-18.5158442
