TP,USL,LSL
,,
T::TP1_T_PCT_400,3.6276792,0
,,
T::TP1_T_PCT_410,10000,-10000
,,
T::TP1_T_PCT_420,10000,-10000
,,
T::TP1_T_PCT_450,1.033555,0.963235
,,
T::TP1_T_PCT_500,1.0192288,0.9780124
,,
T::TP1_T_PCT_550,1,1
,,
T::TP1_T_PCT_600,1.0218748,0.9786256
,,
T::TP1_T_PCT_650,1.0312341,0.9796353
,,
T::TP1_T_PCT_700,1.0478345,0.9672473
,,
T::TP1_T_PCT_750,1.0500902,0.9642146
,,
T::TP1_T_PCT_800,1.0588014,0.9584154
,,
T::TP1_T_PCT_850,1.0596702,0.957867
,,
T::TP1_T_PCT_900,1.0644888,0.950586
,,
T::TP1_T_PCT_950,1.0680766,0.9436906
,,
T::TP1_T_PCT_1000,1.0747578,0.946629
,,
T::TP1_T_PCT_1050,1.0785222,0.9428274
,,
T::TP1_T_PCT_1100,1.0900434,0.9216354
,,
T::TP2_T_PCT_400,3.6276792,0
,,
T::TP2_T_PCT_410,10000,-10000
,,
T::TP2_T_PCT_420,10000,-10000
,,
T::TP2_T_PCT_450,1.033555,0.963235
,,
T::TP2_T_PCT_500,1.0192288,0.9780124
,,
T::TP2_T_PCT_550,1,1
,,
T::TP2_T_PCT_600,1.0218748,0.9786256
,,
T::TP2_T_PCT_650,1.0312341,0.9796353
,,
T::TP2_T_PCT_700,1.0478345,0.9672473
,,
T::TP2_T_PCT_750,1.0500902,0.9642146
,,
T::TP2_T_PCT_800,1.0588014,0.9584154
,,
T::TP2_T_PCT_850,1.0596702,0.957867
,,
T::TP2_T_PCT_900,1.0644888,0.950586
,,
T::TP2_T_PCT_950,1.0680766,0.9436906
,,
T::TP2_T_PCT_1000,1.0747578,0.946629
,,
T::TP2_T_PCT_1050,1.0785222,0.9428274
,,
T::TP2_T_PCT_1100,1.0900434,0.9216354
,,
T::TP3_T_PCT_400,3.6276792,0
,,
T::TP3_T_PCT_410,10000,-10000
,,
T::TP3_T_PCT_420,10000,-10000
,,
T::TP3_T_PCT_450,1.033555,0.963235
,,
T::TP3_T_PCT_500,1.0192288,0.9780124
,,
T::TP3_T_PCT_550,1,1
,,
T::TP3_T_PCT_600,1.0218748,0.9786256
,,
T::TP3_T_PCT_650,1.0312341,0.9796353
,,
T::TP3_T_PCT_700,1.0478345,0.9672473
,,
T::TP3_T_PCT_750,1.0500902,0.9642146
,,
T::TP3_T_PCT_800,1.0588014,0.9584154
,,
T::TP3_T_PCT_850,1.0596702,0.957867
,,
T::TP3_T_PCT_900,1.0644888,0.950586
,,
T::TP3_T_PCT_950,1.0680766,0.9436906
,,
T::TP3_T_PCT_1000,1.0747578,0.946629
,,
T::TP3_T_PCT_1050,1.0785222,0.9428274
,,
T::TP3_T_PCT_1100,1.0900434,0.9216354
